network,autonomous_system_number,autonomous_system_organization
2001:318::/32,7522,"STNet, Incorporated"
2001:320::/32,1237,KISTI
2001:330::/32,6619,"SamsungSDS Inc."
2001:338::/32,4675,"UNIADEX, LTD."
2001:340::/32,4678,"Canon IT Solutions Inc."
2001:348::/32,7679,"QTnet,Inc."
2001:350::/32,7671,"NTT SmartConnect Corporation"
2001:358::/32,4680,"Mitsubishi Electric Information Network Corporation"
2001:360::/32,1221,"Telstra Pty Ltd"
2001:370::/32,9607,"BroadBand Tower, Inc."
2001:378::/32,9318,"SK Broadband Co Ltd"
2001:380::/32,4713,"NTT Communications Corporation"
2001:388::/45,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:8::/46,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:c::/48,23859,"University of New South Wales"
2001:388:d::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:e::/47,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:10::/44,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:20::/44,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:30::/48,137188,"Australian Catholic University Limited"
2001:388:31::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:32::/47,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:34::/46,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:38::/45,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:40::/42,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:80::/41,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:100::/40,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:200::/39,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:400::/38,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:800::/37,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1000::/43,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1020::/44,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1030::/48,137188,"Australian Catholic University Limited"
2001:388:1031::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1032::/47,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1034::/46,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1038::/45,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1040::/42,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1080::/41,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1100::/40,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1200::/39,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1400::/38,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:1800::/37,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:2000::/36,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3000::/43,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3020::/44,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3030::/48,137188,"Australian Catholic University Limited"
2001:388:3031::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3032::/47,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3034::/46,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3038::/45,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3040::/42,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3080::/41,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3100::/40,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3200::/39,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3400::/38,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:3800::/37,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:4000::/35,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6000::/43,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6020::/44,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6030::/48,137188,"Australian Catholic University Limited"
2001:388:6031::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6032::/47,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6034::/46,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6038::/45,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6040::/43,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6060::/44,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6070::/45,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6078::/46,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:607c::/48,135893,"La Trobe University"
2001:388:607d::/48,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:607e::/47,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6080::/41,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6100::/40,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6200::/39,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6400::/38,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:6800::/37,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:7000::/36,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:388:8000::/33,7575,"Australian Academic and Reasearch Network (AARNet)"
2001:398::/32,7682,"HOKKAIDO TELECOMMUNICATIONS NETWORK Co., Inc."
2001:3a0::/32,7521,"INTERNET MULTIFEED CO."
2001:3a8::/32,9848,"Sejong Telecom"
2001:3b0::/32,17529,"COMMUNITY NETWORK CENTER INC."
2001:3b8::/32,2527,"So-net Entertainment Corporation"
2001:3c0::/35,7516,"Tohoku Intelligent Telecommunication Co., Inc."
2001:3c8::/36,4621,"Chulalongkorn University"
2001:3c8:1000::/45,4621,"Chulalongkorn University"
2001:3c8:1008::/46,4621,"Chulalongkorn University"
2001:3c8:100c::/47,4621,"Chulalongkorn University"
2001:3c8:100e::/48,4621,"Chulalongkorn University"
2001:3c8:100f::/48,133919,"University campus network, Rajamangala University of Technology Phra Nakhon"
2001:3c8:1010::/44,4621,"Chulalongkorn University"
2001:3c8:1020::/43,4621,"Chulalongkorn University"
2001:3c8:1040::/42,4621,"Chulalongkorn University"
2001:3c8:1080::/41,4621,"Chulalongkorn University"
2001:3c8:1100::/40,4621,"Chulalongkorn University"
2001:3c8:1200::/40,4621,"Chulalongkorn University"
2001:3c8:1300::/46,4621,"Chulalongkorn University"
2001:3c8:1304::/47,4621,"Chulalongkorn University"
2001:3c8:1306::/48,137198,"Phranakorn Rajabhat University"
2001:3c8:1307::/48,4621,"Chulalongkorn University"
2001:3c8:1308::/47,4621,"Chulalongkorn University"
2001:3c8:130a::/48,17827,"Sukhothai Thammathirat Open University"
2001:3c8:130b::/48,4621,"Chulalongkorn University"
2001:3c8:130c::/46,4621,"Chulalongkorn University"
2001:3c8:1310::/44,4621,"Chulalongkorn University"
2001:3c8:1320::/43,4621,"Chulalongkorn University"
2001:3c8:1340::/42,4621,"Chulalongkorn University"
2001:3c8:1380::/41,4621,"Chulalongkorn University"
2001:3c8:1400::/48,4621,"Chulalongkorn University"
2001:3c8:1401::/48,3839,"Chulalongkorn University"
2001:3c8:1402::/47,4621,"Chulalongkorn University"
2001:3c8:1404::/46,4621,"Chulalongkorn University"
2001:3c8:1408::/45,4621,"Chulalongkorn University"
2001:3c8:1410::/44,4621,"Chulalongkorn University"
2001:3c8:1420::/43,4621,"Chulalongkorn University"
2001:3c8:1440::/42,4621,"Chulalongkorn University"
2001:3c8:1480::/41,4621,"Chulalongkorn University"
2001:3c8:1500::/40,4621,"Chulalongkorn University"
2001:3c8:1600::/40,4621,"Chulalongkorn University"
2001:3c8:1700::/48,4621,"Chulalongkorn University"
2001:3c8:1701::/48,23687,"The Institute for the Promotion of Teaching Science"
2001:3c8:1702::/47,4621,"Chulalongkorn University"
2001:3c8:1704::/46,4621,"Chulalongkorn University"
2001:3c8:1708::/45,4621,"Chulalongkorn University"
2001:3c8:1710::/44,4621,"Chulalongkorn University"
2001:3c8:1720::/43,4621,"Chulalongkorn University"
2001:3c8:1740::/42,4621,"Chulalongkorn University"
2001:3c8:1780::/41,4621,"Chulalongkorn University"
2001:3c8:1800::/37,4621,"Chulalongkorn University"
2001:3c8:2000::/38,4621,"Chulalongkorn University"
2001:3c8:2400::/39,4621,"Chulalongkorn University"
2001:3c8:2600::/40,4621,"Chulalongkorn University"
2001:3c8:2700::/46,4621,"Chulalongkorn University"
2001:3c8:2704::/48,4621,"Chulalongkorn University"
2001:3c8:2705::/48,132482,"Rajamangala University of Technology Rattanakosin"
2001:3c8:2706::/47,4621,"Chulalongkorn University"
2001:3c8:2708::/45,4621,"Chulalongkorn University"
2001:3c8:2710::/44,4621,"Chulalongkorn University"
2001:3c8:2720::/43,4621,"Chulalongkorn University"
2001:3c8:2740::/42,4621,"Chulalongkorn University"
2001:3c8:2780::/41,4621,"Chulalongkorn University"
2001:3c8:2800::/39,4621,"Chulalongkorn University"
2001:3c8:2a00::/46,4621,"Chulalongkorn University"
2001:3c8:2a04::/47,4621,"Chulalongkorn University"
2001:3c8:2a06::/48,4621,"Chulalongkorn University"
2001:3c8:2a07::/48,135528,"Muban Chombueng Rajabhat University"
2001:3c8:2a08::/45,4621,"Chulalongkorn University"
2001:3c8:2a10::/44,4621,"Chulalongkorn University"
2001:3c8:2a20::/43,4621,"Chulalongkorn University"
2001:3c8:2a40::/42,4621,"Chulalongkorn University"
